text,cluster,similarity,place,Characters_nltk,Places_nltk,Characters_bert,Places_bert
"Her brother hung the gown beside the door. “Illyrio will send the slaves to bathe you. Be sure you wash off the stink of the stables. Khal Drogo has a thousand horses, tonight he looks for a different sort of mount.” He studied her critically. “You still slouch. Straighten yourself” He pushed back her shoulders with his hands. “Let them see that you have a woman’s shape now.” His fingers brushed lightly over her budding breasts and tightened on a nipple. “You will not fail me tonight. If you do, it will go hard for you. You don’t want to wake the dragon, do you?” His fingers twisted her, the pinch cruelly hard through the rough fabric of her tunic. “Do you?” he repeated.",Intimate moments,0.999999995763074,286,"['Illyrio Mopatis', 'Drogo']",[],"['Illyrio Mopatis', 'Drogo']",[]
"Her brother hung the gown beside the door. “Illyrio will send the slaves to bathe you. Be sure you wash off the stink of the stables. Khal Drogo has a thousand horses, tonight he looks for a different sort of mount.” He studied her critically. “You still slouch. Straighten yourself” He pushed back her shoulders with his hands. “Let them see that you have a woman’s shape now.” His fingers brushed lightly over her budding breasts and tightened on a nipple. “You will not fail me tonight. If you do, it will go hard for you. You don’t want to wake the dragon, do you?” His fingers twisted her, the pinch cruelly hard through the rough fabric of her tunic. “Do you?” he repeated.“No,” Dany said meekly.Her brother smiled. “Good.” He touched her hair, almost with affection. “When they write the history of my reign, sweet sister, they will say that it began tonight.”When he was gone, Dany went to her window and looked out wistfully on the waters of the bay. The square brick towers of Pentos were black silhouettes outlined against the setting sun. Dany could hear the singing of the red priests as they lit their night fires and the shouts of ragged children playing games beyond the walls of the estate. For a moment she wished she could be out there with them, barefoot and breathless and dressed in tatters, with no past and no future and no feast to attend at Khal Drogo’s manse.",Intimate moments,0.999999995763074,289,"['Daenerys Targaryen', 'Illyrio Mopatis', 'Drogo']",[],"['Daenerys Targaryen', 'Illyrio Mopatis', 'Drogo']",[' Pentos']
"And for the first time in hours, she forgot to be afraid. Or perhaps it was for the first time ever.The silver-grey filly moved with a smooth and silken gait, and the crowd parted for her, every eye upon them. Dany found herself moving faster than she had intended, yet somehow it was exciting rather than terrifying. The horse broke into a trot, and she smiled. Dothraki scrambled to clear a path. The slightest pressure with her legs, the lightest touch on the reins, and the filly responded. She sent it into a gallop, and now the Dothraki were hooting and laughing and shouting at her as they jumped out of her way. As she turned to ride back, a firepit loomed ahead, directly in her path. They were hemmed in on either side, with no room to stop. A daring she had never known filled Daenerys then, and she gave the filly her head.",Intimate moments,0.999999995763074,1078,['Daenerys Targaryen'],[],['Daenerys Targaryen'],[]
"It took a long time. All the while he sat there silently, watching her. When she was done, he shook his head, and his hair spread out behind him like a river of darkness, oiled and gleaming. She had never seen hair so long, so black, so thick.Then it was his turn. He began to undress her.His fingers were deft and strangely tender. He removed her silks one by one, carefully, while Dany sat unmoving, silent, looking at his eyes. When he bared her small breasts, she could not help herself. She averted her eyes and covered herself with her hands. “No,” Drogo said. He pulled her hands away from her breasts, gently but firmly, then lifted her face again to make her look at him. “No,” he repeated.“No,” she echoed back at him.",Intimate moments,0.999999995763074,1103,"['Daenerys Targaryen', 'Drogo']",[],"['Daenerys Targaryen', 'Drogo']",[]
"After a while he began to touch her. Lightly at first, then harder. She could sense the fierce strength in his hands, but he never hurt her. He held her hand in his own and brushed her fingers, one by one. He ran a hand gently down her leg. He stroked her face, tracing the curve of her ears, running a finger gently around her mouth. He put both hands in her hair and combed it with his fingers. He turned her around, massaged her shoulders, slid a knuckle down the path of her spine.It seemed as if hours passed before his hands finally went to her breasts. He stroked the soft skin underneath until it tingled. He circled her nipples with his thumbs, pinched them between thumb and forefinger, then began to pull at her, very lightly at first, then more insistently, until her nipples stiffened and began to ache.He stopped then, and drew her down onto his lap. Dany was flushed and breathless, her heart fluttering in her chest. He cupped her face in his huge hands and looked into his eyes. “No?” he said, and she knew it was a question.",Intimate moments,0.999999995763074,1109,['Daenerys Targaryen'],[],"['Daenerys Targaryen, Drogo']",[]
"The man who stepped through the door was plump, perfumed, powdered, and as hairless as an egg. He wore a vest of woven gold thread over a loose gown of purple silk, and on his feet were pointed slippers of soft velvet. “Lady Stark,” he said, taking her hand in both of his, “to see you again after so many years is such a joy.” His flesh was soft and moist, and his breath smelled of lilacs. “Oh, your poor hands. Have you burned yourself, sweet lady? The fingers are so delicate… Our good Maester Pycelle makes a marvelous salve, shall I send for a jar?”",Intimate moments,0.999999995763074,1798,['Lyarra Stark'],[],"['Pycelle', 'Sarra Stark']",[]
"Fat Tom was knocking on her door. “Arya girl, what’s wrong?” he called out. “You in there?”“No!” she shouted. The knocking stopped. A moment later she heard him going away. Fat Tom was always easy to fool.Arya went to the chest at the foot of her bed. She knelt, opened the lid, and began pulling her clothes out with both hands, grabbing handfuls of silk and satin and velvet and wool and tossing them on the floor. It was there at the bottom of the chest, where she’d hidden it. Arya lifted it out almost tenderly and drew the slender blade from its sheath.Needle.",Intimate moments,0.999999995763074,2311,['Arya Stark'],[],['Arya Stark'],[]
"And the next day, strangely, she did not seem to hurt quite so much. It was as if the gods had heard her and taken pity. Even her handmaids noticed the change. “Khaleesi,” Jhiqui said, “what is wrong? Are you sick?”“I was,” she answered, standing over the dragon’s eggs that Illyrio had given her when she wed. She touched one, the largest of the three, running her hand lightly over the shelf. Black-and-scarlet, she thought, like the dragon in my dream. The stone felt strangely warm beneath her fingers… or was she still dreaming? She pulled her hand back nervously.From that hour onward, each day was easier than the one before it. Her legs grew stronger; her blisters burst and her hands grew callused; her soft thighs toughened, supple as leather.",Intimate moments,0.999999995763074,2413,"['Jhiqui', 'Illyrio Mopatis']",[],"['Jhiqui', 'Illyrio Mopatis']",[]
"“I was,” she answered, standing over the dragon’s eggs that Illyrio had given her when she wed. She touched one, the largest of the three, running her hand lightly over the shelf. Black-and-scarlet, she thought, like the dragon in my dream. The stone felt strangely warm beneath her fingers… or was she still dreaming? She pulled her hand back nervously.From that hour onward, each day was easier than the one before it. Her legs grew stronger; her blisters burst and her hands grew callused; her soft thighs toughened, supple as leather.The khal had commanded the handmaid Irri to teach Dany to ride in the Dothraki fashion, but it was the filly who was her real teacher. The horse seemed to know her moods, as if they shared a single mind. With every passing day, Dany felt surer in her seat. The Dothraki were a hard and unsentimental people, and it was not their custom to name their animals, so Dany thought of her only as the silver. She had never loved anything so much.",Intimate moments,0.999999995763074,2415,"['Irri', 'Daenerys Targaryen', 'Illyrio Mopatis']",[],"['Irri', 'Daenerys Targaryen', 'Illyrio Mopatis']",[]
"Ser Alliser’s onyx eyes were fixed on Jon Snow. “It would seem our Bastard is in love,” he said as Jon helped the fat boy to his feet. “Show me your steel, Lord Snow.”Jon drew his longsword. He dared defy Ser Alliser only to a point, and he feared he was well beyond it now.Thorne smiled. “The Bastard wishes to defend his lady love, so we shall make an exercise of it. Rat, Pimple, help our Stone Head here.” Rast and Albett moved to join Halder. “Three of you ought to be sufficient to make Lady Piggy squeal. All you need do is get past the Bastard.”“Stay behind me,” Jon said to the fat boy. Ser Alliser had often sent two foes against him, but never three. He knew he would likely go to sleep bruised and bloody tonight. He braced himself for the assault.",Intimate moments,0.9999999969371428,2756,"['Alliser Thorne', 'Halder', 'Serra', 'Albett', 'Alleras', 'Jon Snow', 'Category:Bastards']",[],"['Pyg', 'Halder', 'Theomore', 'Rast', 'Albett', 'Alleras', 'Jon Snow']",[]
